Swedish,English
rört,touched
jättefin,Very nice
betyg,Grade
läkarna,the doctors
sprida,spread
ralph,Ralph
avbryta,cancel
provet,The test
annans,another's
brorsan,The brother
klaga,complain
hurra,hurray
ricky,Ricky
typer,Types
landets,the country's
tvingades,forced
öra,ear
beväpnade,armed
placera,place
byte,change
städer,Cities
singel,Single
drev,drove
sjung,Sing
falsk,fake
jadå,Yes
gullig,cute
nelson,Nelson
heder,honor
ana,Ana
tavlan,The board
samling,collection
omständigheter,circumstances
plockar,Picking
undersöker,examines
landar,lands
lyfter,lifts
detaljerna,The details
boss,boss
tända,light
låste,locked
minsann,indeed
swedish,Swedish
värda,worthy
sol,solar
avgör,determines
kronor,crowns
vårat,spring
sandy,Sandy
väck,gone
djupare,deeper
välsigne,Bless
dotters,daughter
sno,twist
inatt,Tonight
regn,rain
owen,Owen
bryggan,the bridge
siffror,numbers
andel,share
slänger,throwing
chanser,chances
avsikt,intention
mia,Mia
missförstånd,misunderstanding
paret,The couple
my,My
craig,Craig
pastorn,pastor
stugan,The cottage
sjunker,sinking
livstid,lifetime
kallades,was called
von,von
skickades,were sent
förstörd,destroyed
pressa,press
därborta,over there
röstar,votes
svaghet,weakness
hajar,sharks
någons,Someone
försäkra,ensure
ordnade,arranged
gångs,time
louise,Louise
stulen,stolen
kropparna,the bodies
lånade,borrowed
ständigt,constantly
nuförtiden,these days
öppnas,opens
samlade,collected
släppt,released
blyg,shy
riktning,direction
tungan,tongue
wendy,Wendy
dygn,day
hundarna,The dogs
guvernören,The governor
warren,Warren
rådet,the Council
nätter,Nights
verksamhet,Operation
varelse,creature
helikopter,helicopter
huvuden,heads
feber,fever
tjock,thick
medvetslös,unconscious
mördat,murdered
utnyttjade,exploited
belöning,reward
dejtar,dating
jakten,The hunt
November,November
soldaterna,The soldiers
kontraktet,the contract
skakar,shaking
virus,virus
gloria,halo
tårar,Tears
fickan,Pocket
verklighet,reality
tidpunkt,time
låtsades,pretended
våning,floor
